Roll_No,Name,Gender,Semester,Branch,Attandance,Maths,DS,OS,DBMS,AI,Study_houre,Final_Percentage,Performance_Label,Father_Name,Mother_Name,Blood_Group,Date_of_Birth,Age,City,Address,Pincode,State,Country,Participant,Mobile_Number,Email_ID,Game
RGPV0001,Zoya Dhillon,Female,6th,AIML,71,95,59,93,100,78,7,85,Excellent,Vedika Vohra,Hiran Bala,AB-,08-04-2001,19,Surat,"House No. 677, Vesu, Surat",986260,Gujarat,India,No,3166482779,cbajaj@yahoo.com,Badminton
RGPV0002,Jayesh Sheth,Male,6th,AIDS,70,78,95,85,49,60,6,73.4,Average,Emir Hari,Miraan Deshmukh,B-,25-03-2004,21,Mangalore,"House No. 535, Kadri, Mangalore",465573,Karnataka,India,Yes,6405753724,vbasu@gmail.com,Football
RGPV0003,Drishya Soman,Male,6th,CSIT,92,71,94,59,72,49,5,69,Average,Nitya Dada,Biju Mandal,A+,05-07-2003,21,Pune,"House No. 895, Viman Nagar, Pune",764015,Maharashtra,India,Yes,9407411782,samibiju@gmail.com,Kabaddi
RGPV0004,Divij Kannan,Male,6th,CSE,75,67,99,41,74,50,5,66.2,Average,Hansh Chaudhary,Manjari Buch,AB-,07-05-2002,19,Surat,"House No. 19, Vesu, Surat",423055,Gujarat,India,Yes,8067153468,ikrishnamurthy@dash.biz,
RGPV0005,Anay Sen,Female,6th,DS,80,97,51,90,88,96,7,84.4,Excellent,Aarav Aurora,Mohanlal Kata,O+,26-11-2003,21,Bengaluru,"House No. 943, Indiranagar, Bengaluru",918305,Karnataka,India,No,8502877217,hrishita52@yahoo.com,Cricket
RGPV0006,Himmat Choudhary,Male,6th,CSIT,63,71,66,66,92,46,5,68.2,Average,Azad Kakar,Arnav Mander,B-,30-04-2001,20,Jodhpur,"House No. 672, Sardarpura, Jodhpur",779728,Rajasthan,India,Yes,7140811269,uganesan@hotmail.com,Kabaddi
RGPV0007,Jivika Vohra,Female,6th,AIDS,82,95,71,49,61,90,6,73.2,Average,Nirvaan Raja,Raunak Biswas,A+,17-06-2005,20,Durgapur,"House No. 625, Bidhannagar, Durgapur",898469,West Bengal,India,Yes,5741304367,chanakanav@hotmail.com,Badminton
RGPV0008,Indranil Rastogi,Female,6th,CSIT,64,69,40,64,44,70,4,57.4,Poor,Hazel Sagar,Jivin Choudhury,A-,21-08-2003,20,Muzaffarpur,"House No. 239, Brahmpura, Muzaffarpur",68765,Bihar,India,Yes,4214623182,kartikanand@yahoo.com,Kabaddi
RGPV0009,Madhup Srinivas,Male,6th,AIDS,88,78,55,91,95,99,7,83.6,Excellent,Anaya Banerjee,Vanya Khosla,B-,15-03-2002,20,Udaipur,"House No. 632, Fatehpura, Udaipur",688474,Rajasthan,India,No,2845902397,dasssara@gmail.com,Cricket
RGPV0010,Adah Shere,Female,6th,CSE,69,59,50,46,60,94,5,61.8,Average,Kartik Gala,Reyansh Datta,A+,06-09-2004,19,Bhopal,"House No. 739, Kolar Road, Bhopal",558983,Madhya Pradesh,India,Yes,8082930326,eratta@yahoo.com,
RGPV0011,Tushar Lata,Male,6th,CSE,89,93,62,85,99,90,7,85.8,Excellent,Vardaniya Sunder,Adah Bhatti,B-,22-09-2006,20,Muzaffarpur,"House No. 668, Brahmpura, Muzaffarpur",476799,Bihar,India,Yes,5917541422,advikatiwari@bahl.info,
RGPV0012,Reyansh Balay,Male,6th,CSIT,79,50,72,60,71,69,5,64.4,Average,Kimaya Sodhi,Zaina Verma,A-,28-03-2007,20,Indore,"House No. 443, Palasia, Indore",535930,Madhya Pradesh,India,Yes,2120286190,hegdemiraan@rout-boase.org,
RGPV0013,Anika Gole,Male,6th,AIML,91,54,75,60,88,42,5,63.8,Average,Arhaan Tank,Ranbir Bhatia,A+,05-09-2007,20,Mumbai,"House No. 882, Bandra, Mumbai",890681,Maharashtra,India,No,2437364016,raunak40@keer.com,Badminton
RGPV0014,Amani Bakshi,Female,6th,CSE,82,55,75,100,74,78,6,76.4,Excellent,Sahil Gala,Saira Shroff,A-,08-03-2002,21,Jodhpur,"House No. 480, Ratanada, Jodhpur",900021,Rajasthan,India,Yes,9016905137,jsuresh@raval.com,Badminton
RGPV0015,Dharmajan Guha,Male,6th,AIDS,63,59,89,73,88,82,6,78.2,Excellent,Reyansh Ghosh,Bhavin Khosla,A+,25-05-2002,20,Bengaluru,"House No. 233, Whitefield, Bengaluru",502265,Karnataka,India,Yes,2111029756,shanayasundaram@gmail.com,Chess
RGPV0016,Ivana Vyas,Female,6th,CSE,62,93,63,49,61,47,5,62.6,Average,Jivin Singhal,Ojas Barad,AB+,22-02-2003,20,Lucknow,"House No. 319, Hazratganj, Lucknow",534727,Uttar Pradesh,India,No,3889016487,ltiwari@halder.com,
